method,benchmark,metric,value
EgoVidMem,Egoschema,delta_m_tau,0.362
EgoVidMem,EgoLifeQA,delta_c,14.2
EgoVidMem,EgoLifeQA,delta_e,18.3
EgoVidMem,EgoLifeQA,delta_m_tau,0.381
EgoVidMem,EgoR1Bench,delta_c,10.5
EgoVidMem,EgoR1Bench,delta_e,15.1
EgoVidMem,EgoR1Bench,delta_m_tau,0.341
Qwen3VL,Egoschema,delta_c_tau,0.444
Qwen3VL,Egoschema,delta_e_tau,1.3
Qwen3VL,Egoschema,eta_M_V,
Qwen3VL,EgoLifeQA,delta_c_tau,3.62
Qwen3VL,EgoLifeQA,delta_e_tau,6.28
Qwen3VL,EgoLifeQA,eta_M_V,
Qwen3VL,EgoR1Bench,delta_c_tau,3.56
Qwen3VL,EgoR1Bench,delta_e_tau,6.23
Qwen3VL,EgoR1Bench,eta_M_V,
Qwen2.5VL,Egoschema,delta_c_tau,0.779
Qwen2.5VL,Egoschema,delta_e_tau,1.73
Qwen2.5VL,Egoschema,eta_M_V,
Qwen2.5VL,EgoLifeQA,delta_c_tau,13.3
Qwen2.5VL,EgoLifeQA,delta_e_tau,15.5
Qwen2.5VL,EgoLifeQA,eta_M_V,
Qwen2.5VL,EgoR1Bench,delta_c_tau,13.0
Qwen2.5VL,EgoR1Bench,delta_e_tau,15.7
Qwen2.5VL,EgoR1Bench,eta_M_V,
LLaVA-Video,Egoschema,delta_c_tau,0.889
LLaVA-Video,Egoschema,delta_e_tau,1.57
LLaVA-Video,Egoschema,eta_M_V,
LLaVA-Video,EgoLifeQA,delta_c_tau,4.71
LLaVA-Video,EgoLifeQA,delta_e_tau,4.86
LLaVA-Video,EgoLifeQA,eta_M_V,
LLaVA-Video,EgoR1Bench,delta_c_tau,4.63
LLaVA-Video,EgoR1Bench,delta_e_tau,4.79
LLaVA-Video,EgoR1Bench,eta_M_V,
LLaVA-OV,Egoschema,delta_c_tau,0.132
LLaVA-OV,Egoschema,delta_e_tau,0.414
LLaVA-OV,Egoschema,eta_M_V,
LLaVA-OV,EgoLifeQA,delta_c_tau,0.871
LLaVA-OV,EgoLifeQA,delta_e_tau,0.906
LLaVA-OV,EgoLifeQA,eta_M_V,
LLaVA-OV,EgoR1Bench,delta_c_tau,0.856
LLaVA-OV,EgoR1Bench,delta_e_tau,0.88
LLaVA-OV,EgoR1Bench,eta_M_V,
InternVL3.5,Egoschema,delta_c_tau,2.95
InternVL3.5,Egoschema,delta_e_tau,3.15
InternVL3.5,Egoschema,eta_M_V,
InternVL3.5,EgoLifeQA,delta_c_tau,27.1
InternVL3.5,EgoLifeQA,delta_e_tau,27.3
